District,Crop,Year,Season,Total_Rainfall_mm,Average_Temp_C,Mean_NDVI,Yield_KG_HA
Gicumbi,Sorghum,2021,Season B,518.4,17.424728260869564,0.5836,1109.03
Gicumbi,Soya beans,2015,Season A,859.6,17.583977900552487,0.6226,550.38
Gicumbi,Soya beans,2015,Season B,540.6,17.42146739130435,0.6194,324.28
Gicumbi,Soya beans,2016,Season A,759.9,17.959615384615386,0.6145,515.12
Gicumbi,Soya beans,2016,Season B,498.9,17.965760869565216,0.5729,292.23
Gicumbi,Soya beans,2017,Season A,385.4,17.99779005524862,0.5863,449.08
Gicumbi,Soya beans,2017,Season B,328.3,17.732608695652175,0.5783,270.25
Gicumbi,Soya beans,2018,Season A,552.5,17.698066298342543,0.5993,478.95
Gicumbi,Soya beans,2018,Season B,586.4,17.06086956521739,0.6132,331.44
Gicumbi,Soya beans,2019,Season A,859.1999999999999,17.73756906077348,0.6151,540.67
Gicumbi,Soya beans,2019,Season B,483.9,17.772554347826087,0.6012,299.29
Gicumbi,Soya beans,2020,Season A,841.6999999999999,17.802197802197803,0.6032,525.68
Gicumbi,Soya beans,2020,Season B,565.0,17.934782608695652,0.586,303.15
Gicumbi,Soya beans,2021,Season A,632.0,17.820165745856354,0.5944,492.19
Gicumbi,Soya beans,2021,Season B,518.4,17.424728260869564,0.5836,310.84
Gicumbi,Sweet potatoes,2015,Season A,859.6,17.583977900552487,0.6226,10141.75
Gicumbi,Sweet potatoes,2015,Season B,540.6,17.42146739130435,0.6194,7374.24
Gicumbi,Sweet potatoes,2016,Season A,759.9,17.959615384615386,0.6145,9443.97
Gicumbi,Sweet potatoes,2016,Season B,498.9,17.965760869565216,0.5729,6644.03
Gicumbi,Sweet potatoes,2017,Season A,385.4,17.99779005524862,0.5863,7979.42
Gicumbi,Sweet potatoes,2017,Season B,328.3,17.732608695652175,0.5783,6391.75
Gicumbi,Sweet potatoes,2018,Season A,552.5,17.698066298342543,0.5993,8982.34
Gicumbi,Sweet potatoes,2018,Season B,586.4,17.06086956521739,0.6132,7606.15
Gicumbi,Sweet potatoes,2019,Season A,859.1999999999999,17.73756906077348,0.6151,9835.98
Gicumbi,Sweet potatoes,2019,Season B,483.9,17.772554347826087,0.6012,7069.5
Gicumbi,Sweet potatoes,2020,Season A,841.6999999999999,17.802197802197803,0.6032,9736.15
Gicumbi,Sweet potatoes,2020,Season B,565.0,17.934782608695652,0.586,7192.07
Gicumbi,Sweet potatoes,2021,Season A,632.0,17.820165745856354,0.5944,8882.77
Gicumbi,Sweet potatoes,2021,Season B,518.4,17.424728260869564,0.5836,7137.81
Gicumbi,Wheat,2015,Season A,859.6,17.583977900552487,0.6226,688.7
Gicumbi,Wheat,2015,Season B,540.6,17.42146739130435,0.6194,908.06
Gicumbi,Wheat,2016,Season A,759.9,17.959615384615386,0.6145,633.64
Gicumbi,Wheat,2016,Season B,498.9,17.965760869565216,0.5729,796.39
Gicumbi,Wheat,2017,Season A,385.4,17.99779005524862,0.5863,561.38
Gicumbi,Wheat,2017,Season B,328.3,17.732608695652175,0.5783,766.23
Gicumbi,Wheat,2018,Season A,552.5,17.698066298342543,0.5993,615.37
Gicumbi,Wheat,2018,Season B,586.4,17.06086956521739,0.6132,926.16
Gicumbi,Wheat,2019,Season A,859.1999999999999,17.73756906077348,0.6151,678.58
Gicumbi,Wheat,2019,Season B,483.9,17.772554347826087,0.6012,844.28
Gicumbi,Wheat,2020,Season A,841.6999999999999,17.802197802197803,0.6032,665.14
Gicumbi,Wheat,2020,Season B,565.0,17.934782608695652,0.586,849.53
Gicumbi,Wheat,2021,Season A,632.0,17.820165745856354,0.5944,613.25
Gicumbi,Wheat,2021,Season B,518.4,17.424728260869564,0.5836,865.38
Gicumbi,Yams & Taro,2015,Season A,859.6,17.583977900552487,0.6226,6973.24
Gicumbi,Yams & Taro,2015,Season B,540.6,17.42146739130435,0.6194,8030.32
Gicumbi,Yams & Taro,2016,Season A,759.9,17.959615384615386,0.6145,6596.93
Gicumbi,Yams & Taro,2016,Season B,498.9,17.965760869565216,0.5729,7333.64
Gicumbi,Yams & Taro,2017,Season A,385.4,17.99779005524862,0.5863,5584.06
Gicumbi,Yams & Taro,2017,Season B,328.3,17.732608695652175,0.5783,6869.28
Gicumbi,Yams & Taro,2018,Season A,552.5,17.698066298342543,0.5993,6206.77
Gicumbi,Yams & Taro,2018,Season B,586.4,17.06086956521739,0.6132,8159.1
Gicumbi,Yams & Taro,2019,Season A,859.1999999999999,17.73756906077348,0.6151,6929.64
Gicumbi,Yams & Taro,2019,Season B,483.9,17.772554347826087,0.6012,7440.25
Gicumbi,Yams & Taro,2020,Season A,841.6999999999999,17.802197802197803,0.6032,6739.06
Gicumbi,Yams & Taro,2020,Season B,565.0,17.934782608695652,0.586,7572.43
Gicumbi,Yams & Taro,2021,Season A,632.0,17.820165745856354,0.5944,6205.31
Gicumbi,Yams & Taro,2021,Season B,518.4,17.424728260869564,0.5836,7616.36
Gisagara,Banana for beer,2015,Season A,424.2,20.2207182320442,0.5934,8964.82
Gisagara,Banana for beer,2015,Season B,307.5,20.100815217391304,0.5731,9834.15
Gisagara,Banana for beer,2016,Season A,406.2,20.50494505494505,0.6063,8755.66
Gisagara,Banana for beer,2016,Season B,273.7,20.38451086956522,0.5625,9714.55
Gisagara,Banana for beer,2017,Season A,425.2,20.831491712707184,0.5383,8201.55
Gisagara,Banana for beer,2017,Season B,307.5,20.61603260869565,0.5325,9210.94
Gisagara,Banana for beer,2018,Season A,488.8,20.381767955801102,0.5651,8702.87
Gisagara,Banana for beer,2018,Season B,522.5,19.725271739130434,0.5783,11462.8
Gisagara,Banana for beer,2019,Season A,735.5,20.47513812154696,0.6043,9968.13
Gisagara,Banana for beer,2019,Season B,355.5,20.47445652173913,0.5794,10200.62
Gisagara,Banana for beer,2020,Season A,669.5,20.662087912087912,0.5754,9149.5
Gisagara,Banana for beer,2020,Season B,462.0,20.785326086956523,0.5515,9990.52
Gisagara,Banana for beer,2021,Season A,570.0,20.552486187845304,0.5652,8728.37
Gisagara,Banana for beer,2021,Season B,428.5,20.03125,0.5513,10248.7
Gisagara,Bananas,2015,Season A,424.2,20.2207182320442,0.5934,7846.76
Gisagara,Bananas,2015,Season B,307.5,20.100815217391304,0.5731,11126.71
Gisagara,Bananas,2016,Season A,406.2,20.50494505494505,0.6063,7970.81
Gisagara,Bananas,2016,Season B,273.7,20.38451086956522,0.5625,10471.36
Gisagara,Bananas,2017,Season A,425.2,20.831491712707184,0.5383,7178.66
Gisagara,Bananas,2017,Season B,307.5,20.61603260869565,0.5325,10376.11
Gisagara,Bananas,2018,Season A,488.8,20.381767955801102,0.5651,7748.55
Gisagara,Bananas,2018,Season B,522.5,19.725271739130434,0.5783,12648.46
Gisagara,Bananas,2019,Season A,735.5,20.47513812154696,0.6043,8627.07
Gisagara,Bananas,2019,Season B,355.5,20.47445652173913,0.5794,11127.5
Gisagara,Bananas,2020,Season A,669.5,20.662087912087912,0.5754,8165.34
Gisagara,Bananas,2020,Season B,462.0,20.785326086956523,0.5515,11036.09
Gisagara,Bananas,2021,Season A,570.0,20.552486187845304,0.5652,7990.03
Gisagara,Bananas,2021,Season B,428.5,20.03125,0.5513,11228.58
Gisagara,Beans,2015,Season B,307.5,20.100815217391304,0.5731,600.81
Gisagara,Beans,2016,Season B,273.7,20.38451086956522,0.5625,563.96
Gisagara,Beans,2017,Season B,307.5,20.61603260869565,0.5325,559.05
Gisagara,Beans,2018,Season B,522.5,19.725271739130434,0.5783,667.39
Gisagara,Beans,2019,Season B,355.5,20.47445652173913,0.5794,612.7
Gisagara,Beans,2020,Season B,462.0,20.785326086956523,0.5515,599.77
Gisagara,Beans,2021,Season B,428.5,20.03125,0.5513,611.78
Gisagara,Bush bean,2015,Season A,424.2,20.2207182320442,0.5934,559.25
Gisagara,Bush bean,2015,Season B,307.5,20.100815217391304,0.5731,574.78
Gisagara,Bush bean,2016,Season A,406.2,20.50494505494505,0.6063,564.23
Gisagara,Bush bean,2016,Season B,273.7,20.38451086956522,0.5625,544.77
Gisagara,Bush bean,2017,Season A,425.2,20.831491712707184,0.5383,504.14
Gisagara,Bush bean,2017,Season B,307.5,20.61603260869565,0.5325,533.25
Gisagara,Bush bean,2018,Season A,488.8,20.381767955801102,0.5651,561.43
Gisagara,Bush bean,2018,Season B,522.5,19.725271739130434,0.5783,631.83
Gisagara,Bush bean,2019,Season A,735.5,20.47513812154696,0.6043,615.56
Gisagara,Bush bean,2019,Season B,355.5,20.47445652173913,0.5794,566.39
Gisagara,Bush bean,2020,Season A,669.5,20.662087912087912,0.5754,587.04
Gisagara,Bush bean,2020,Season B,462.0,20.785326086956523,0.5515,572.18
Gisagara,Bush bean,2021,Season A,570.0,20.552486187845304,0.5652,565.99
Gisagara,Bush bean,2021,Season B,428.5,20.03125,0.5513,590.27
Gisagara,Cassava,2015,Season A,424.2,20.2207182320442,0.5934,16157.97
Gisagara,Cassava,2015,Season B,307.5,20.100815217391304,0.5731,16530.05
Gisagara,Cassava,2016,Season A,406.2,20.50494505494505,0.6063,15487.67
Gisagara,Cassava,2016,Season B,273.7,20.38451086956522,0.5625,15486.53
Gisagara,Cassava,2017,Season A,425.2,20.831491712707184,0.5383,14532.21
Gisagara,Cassava,2017,Season B,307.5,20.61603260869565,0.5325,15001.05
Gisagara,Cassava,2018,Season A,488.8,20.381767955801102,0.5651,15858.61
Gisagara,Cassava,2018,Season B,522.5,19.725271739130434,0.5783,18704.64
Gisagara,Cassava,2019,Season A,735.5,20.47513812154696,0.6043,17599.24
Gisagara,Cassava,2019,Season B,355.5,20.47445652173913,0.5794,16375.25
Gisagara,Cassava,2020,Season A,669.5,20.662087912087912,0.5754,16480.55
Gisagara,Cassava,2020,Season B,462.0,20.785326086956523,0.5515,16590.1
Gisagara,Cassava,2021,Season A,570.0,20.552486187845304,0.5652,15965.85
Gisagara,Cassava,2021,Season B,428.5,20.03125,0.5513,16928.32
Gisagara,Climbing bean,2015,Season A,424.2,20.2207182320442,0.5934,591.42
Gisagara,Climbing bean,2015,Season B,307.5,20.100815217391304,0.5731,823.66
Gisagara,Climbing bean,2016,Season A,406.2,20.50494505494505,0.6063,600.2
Gisagara,Climbing bean,2016,Season B,273.7,20.38451086956522,0.5625,761.63
Gisagara,Climbing bean,2017,Season A,425.2,20.831491712707184,0.5383,531.72
Gisagara,Climbing bean,2017,Season B,307.5,20.61603260869565,0.5325,767.4
Gisagara,Climbing bean,2018,Season A,488.8,20.381767955801102,0.5651,596.51
Gisagara,Climbing bean,2018,Season B,522.5,19.725271739130434,0.5783,906.93
Gisagara,Climbing bean,2019,Season A,735.5,20.47513812154696,0.6043,660.06
Gisagara,Climbing bean,2019,Season B,355.5,20.47445652173913,0.5794,806.27
Gisagara,Climbing bean,2020,Season A,669.5,20.662087912087912,0.5754,615.02
Gisagara,Climbing bean,2020,Season B,462.0,20.785326086956523,0.5515,837.08
Gisagara,Climbing bean,2021,Season A,570.0,20.552486187845304,0.5652,593.8
Gisagara,Climbing bean,2021,Season B,428.5,20.03125,0.5513,857.42
Gisagara,Cooking Banana,2015,Season A,424.2,20.2207182320442,0.5934,6628.9
Gisagara,Cooking Banana,2015,Season B,307.5,20.100815217391304,0.5731,16210.23
Gisagara,Cooking Banana,2016,Season A,406.2,20.50494505494505,0.6063,6626.24
Gisagara,Cooking Banana,2016,Season B,273.7,20.38451086956522,0.5625,15475.45
Gisagara,Cooking Banana,2017,Season A,425.2,20.831491712707184,0.5383,6164.4
Gisagara,Cooking Banana,2017,Season B,307.5,20.61603260869565,0.5325,15140.1
Gisagara,Cooking Banana,2018,Season A,488.8,20.381767955801102,0.5651,6676.34
Gisagara,Cooking Banana,2018,Season B,522.5,19.725271739130434,0.5783,18002.06
Gisagara,Cooking Banana,2019,Season A,735.5,20.47513812154696,0.6043,7574.13
Gisagara,Cooking Banana,2019,Season B,355.5,20.47445652173913,0.5794,16366.19
Gisagara,Cooking Banana,2020,Season A,669.5,20.662087912087912,0.5754,7142.69
Gisagara,Cooking Banana,2020,Season B,462.0,20.785326086956523,0.5515,16328.43
Gisagara,Cooking Banana,2021,Season A,570.0,20.552486187845304,0.5652,6653.09
Gisagara,Cooking Banana,2021,Season B,428.5,20.03125,0.5513,16488.02
Gisagara,Dessert banana,2015,Season A,424.2,20.2207182320442,0.5934,6972.47
Gisagara,Dessert banana,2015,Season B,307.5,20.100815217391304,0.5731,9526.21
Gisagara,Dessert banana,2016,Season A,406.2,20.50494505494505,0.6063,7106.47
Gisagara,Dessert banana,2016,Season B,273.7,20.38451086956522,0.5625,9269.79
Gisagara,Dessert banana,2017,Season A,425.2,20.831491712707184,0.5383,6524.64
Gisagara,Dessert banana,2017,Season B,307.5,20.61603260869565,0.5325,8816.62
Gisagara,Dessert banana,2018,Season A,488.8,20.381767955801102,0.5651,6869.16
Gisagara,Dessert banana,2018,Season B,522.5,19.725271739130434,0.5783,10604.66
Gisagara,Dessert banana,2019,Season A,735.5,20.47513812154696,0.6043,7865.54
Gisagara,Dessert banana,2019,Season B,355.5,20.47445652173913,0.5794,9760.44
Gisagara,Dessert banana,2020,Season A,669.5,20.662087912087912,0.5754,7330.55
Gisagara,Dessert banana,2020,Season B,462.0,20.785326086956523,0.5515,9643.98
Gisagara,Dessert banana,2021,Season A,570.0,20.552486187845304,0.5652,7187.36
Gisagara,Dessert banana,2021,Season B,428.5,20.03125,0.5513,9834.05
Gisagara,Ground nuts,2015,Season A,424.2,20.2207182320442,0.5934,392.74
Gisagara,Ground nuts,2015,Season B,307.5,20.100815217391304,0.5731,417.59
Gisagara,Ground nuts,2016,Season A,406.2,20.50494505494505,0.6063,383.65
Gisagara,Ground nuts,2016,Season B,273.7,20.38451086956522,0.5625,388.25
Gisagara,Ground nuts,2017,Season A,425.2,20.831491712707184,0.5383,345.37
Gisagara,Ground nuts,2017,Season B,307.5,20.61603260869565,0.5325,388.49
Gisagara,Ground nuts,2018,Season A,488.8,20.381767955801102,0.5651,378.46
Gisagara,Ground nuts,2018,Season B,522.5,19.725271739130434,0.5783,460.99
Gisagara,Ground nuts,2019,Season A,735.5,20.47513812154696,0.6043,427.03
Gisagara,Ground nuts,2019,Season B,355.5,20.47445652173913,0.5794,415.16
Gisagara,Ground nuts,2020,Season A,669.5,20.662087912087912,0.5754,403.4
Gisagara,Ground nuts,2020,Season B,462.0,20.785326086956523,0.5515,414.8
Gisagara,Ground nuts,2021,Season A,570.0,20.552486187845304,0.5652,383.12
Gisagara,Ground nuts,2021,Season B,428.5,20.03125,0.5513,418.98
Gisagara,Irish potatoes,2015,Season A,424.2,20.2207182320442,0.5934,2712.58
Gisagara,Irish potatoes,2015,Season B,307.5,20.100815217391304,0.5731,2479.7
Gisagara,Irish potatoes,2016,Season A,406.2,20.50494505494505,0.6063,2774.41
Gisagara,Irish potatoes,2016,Season B,273.7,20.38451086956522,0.5625,2296.79
Gisagara,Irish potatoes,2017,Season A,425.2,20.831491712707184,0.5383,2506.27
Gisagara,Irish potatoes,2017,Season B,307.5,20.61603260869565,0.5325,2264.47
Gisagara,Irish potatoes,2018,Season A,488.8,20.381767955801102,0.5651,2729.2
Gisagara,Irish potatoes,2018,Season B,522.5,19.725271739130434,0.5783,2785.28
Gisagara,Irish potatoes,2019,Season A,735.5,20.47513812154696,0.6043,2998.33
Gisagara,Irish potatoes,2019,Season B,355.5,20.47445652173913,0.5794,2458.25
Gisagara,Irish potatoes,2020,Season A,669.5,20.662087912087912,0.5754,2903.58
Gisagara,Irish potatoes,2020,Season B,462.0,20.785326086956523,0.5515,2518.75
Gisagara,Irish potatoes,2021,Season A,570.0,20.552486187845304,0.5652,2761.29
Gisagara,Irish potatoes,2021,Season B,428.5,20.03125,0.5513,2532.29
Gisagara,Maize,2015,Season A,424.2,20.2207182320442,0.5934,1866.47
Gisagara,Maize,2015,Season B,307.5,20.100815217391304,0.5731,1033.99
Gisagara,Maize,2016,Season A,406.2,20.50494505494505,0.6063,1880.05
Gisagara,Maize,2016,Season B,273.7,20.38451086956522,0.5625,962.88
Gisagara,Maize,2017,Season A,425.2,20.831491712707184,0.5383,1691.91
Gisagara,Maize,2017,Season B,307.5,20.61603260869565,0.5325,960.54
Gisagara,Maize,2018,Season A,488.8,20.381767955801102,0.5651,1898.2
Gisagara,Maize,2018,Season B,522.5,19.725271739130434,0.5783,1143.09
Gisagara,Maize,2019,Season A,735.5,20.47513812154696,0.6043,2128.54
Gisagara,Maize,2019,Season B,355.5,20.47445652173913,0.5794,1017.31
Gisagara,Maize,2020,Season A,669.5,20.662087912087912,0.5754,1972.25
Gisagara,Maize,2020,Season B,462.0,20.785326086956523,0.5515,1054.02
Gisagara,Maize,2021,Season A,570.0,20.552486187845304,0.5652,1893.41
Gisagara,Maize,2021,Season B,428.5,20.03125,0.5513,1062.12
Gisagara,Paddy rice,2015,Season A,424.2,20.2207182320442,0.5934,4280.24
Gisagara,Paddy rice,2015,Season B,307.5,20.100815217391304,0.5731,3435.98
Gisagara,Paddy rice,2016,Season A,406.2,20.50494505494505,0.6063,4265.93
Gisagara,Paddy rice,2016,Season B,273.7,20.38451086956522,0.5625,3297.83
Gisagara,Paddy rice,2017,Season A,425.2,20.831491712707184,0.5383,3834.65
Gisagara,Paddy rice,2017,Season B,307.5,20.61603260869565,0.5325,3196.44
Gisagara,Paddy rice,2018,Season A,488.8,20.381767955801102,0.5651,4237.32
Gisagara,Paddy rice,2018,Season B,522.5,19.725271739130434,0.5783,3820.79
Gisagara,Paddy rice,2019,Season A,735.5,20.47513812154696,0.6043,4739.31
Gisagara,Paddy rice,2019,Season B,355.5,20.47445652173913,0.5794,3428.14
Gisagara,Paddy rice,2020,Season A,669.5,20.662087912087912,0.5754,4379.61
Gisagara,Paddy rice,2020,Season B,462.0,20.785326086956523,0.5515,3421.43
Gisagara,Paddy rice,2021,Season A,570.0,20.552486187845304,0.5652,4229.92
Gisagara,Paddy rice,2021,Season B,428.5,20.03125,0.5513,3509.62
Gisagara,Peas,2015,Season A,424.2,20.2207182320442,0.5934,912.88
Gisagara,Peas,2015,Season B,307.5,20.100815217391304,0.5731,556.41
Gisagara,Peas,2016,Season A,406.2,20.50494505494505,0.6063,913.27
Gisagara,Peas,2016,Season B,273.7,20.38451086956522,0.5625,528.66
Gisagara,Peas,2017,Season A,425.2,20.831491712707184,0.5383,832.54
Gisagara,Peas,2017,Season B,307.5,20.61603260869565,0.5325,502.34
Gisagara,Peas,2018,Season A,488.8,20.381767955801102,0.5651,898.76
Gisagara,Peas,2018,Season B,522.5,19.725271739130434,0.5783,609.86
Gisagara,Peas,2019,Season A,735.5,20.47513812154696,0.6043,1024.79
Gisagara,Peas,2019,Season B,355.5,20.47445652173913,0.5794,557.64
Gisagara,Peas,2020,Season A,669.5,20.662087912087912,0.5754,966.63
Gisagara,Peas,2020,Season B,462.0,20.785326086956523,0.5515,556.33
Gisagara,Peas,2021,Season A,570.0,20.552486187845304,0.5652,928.12
Gisagara,Peas,2021,Season B,428.5,20.03125,0.5513,568.06
Gisagara,Sorghum,2015,Season A,424.2,20.2207182320442,0.5934,749.7
Gisagara,Sorghum,2015,Season B,307.5,20.100815217391304,0.5731,807.95
Gisagara,Sorghum,2016,Season A,406.2,20.50494505494505,0.6063,752.05
Gisagara,Sorghum,2016,Season B,273.7,20.38451086956522,0.5625,774.88
Gisagara,Sorghum,2017,Season A,425.2,20.831491712707184,0.5383,700.88
Gisagara,Sorghum,2017,Season B,307.5,20.61603260869565,0.5325,729.42
Gisagara,Sorghum,2018,Season A,488.8,20.381767955801102,0.5651,740.63
Gisagara,Sorghum,2018,Season B,522.5,19.725271739130434,0.5783,916.52
Gisagara,Sorghum,2019,Season A,735.5,20.47513812154696,0.6043,838.47
Gisagara,Sorghum,2019,Season B,355.5,20.47445652173913,0.5794,823.31
Gisagara,Sorghum,2020,Season A,669.5,20.662087912087912,0.5754,799.61
Gisagara,Sorghum,2020,Season B,462.0,20.785326086956523,0.5515,794.44
Gisagara,Sorghum,2021,Season A,570.0,20.552486187845304,0.5652,752.8
Gisagara,Sorghum,2021,Season B,428.5,20.03125,0.5513,841.13
Gisagara,Soya beans,2015,Season A,424.2,20.2207182320442,0.5934,525.77
Gisagara,Soya beans,2015,Season B,307.5,20.100815217391304,0.5731,406.56
Gisagara,Soya beans,2016,Season A,406.2,20.50494505494505,0.6063,532.58
Gisagara,Soya beans,2016,Season B,273.7,20.38451086956522,0.5625,392.09
Gisagara,Soya beans,2017,Season A,425.2,20.831491712707184,0.5383,472.96
Gisagara,Soya beans,2017,Season B,307.5,20.61603260869565,0.5325,366.95
Gisagara,Soya beans,2018,Season A,488.8,20.381767955801102,0.5651,520.4
Gisagara,Soya beans,2018,Season B,522.5,19.725271739130434,0.5783,447.7
Gisagara,Soya beans,2019,Season A,735.5,20.47513812154696,0.6043,580.9
Gisagara,Soya beans,2019,Season B,355.5,20.47445652173913,0.5794,406.89
Gisagara,Soya beans,2020,Season A,669.5,20.662087912087912,0.5754,541.73
Gisagara,Soya beans,2020,Season B,462.0,20.785326086956523,0.5515,404.69
Gisagara,Soya beans,2021,Season A,570.0,20.552486187845304,0.5652,522.61
Gisagara,Soya beans,2021,Season B,428.5,20.03125,0.5513,419.04
Gisagara,Sweet potatoes,2015,Season A,424.2,20.2207182320442,0.5934,5980.85
Gisagara,Sweet potatoes,2015,Season B,307.5,20.100815217391304,0.5731,5101.58
Gisagara,Sweet potatoes,2016,Season A,406.2,20.50494505494505,0.6063,5805.54
Gisagara,Sweet potatoes,2016,Season B,273.7,20.38451086956522,0.5625,4967.05
Gisagara,Sweet potatoes,2017,Season A,425.2,20.831491712707184,0.5383,5345.98
Gisagara,Sweet potatoes,2017,Season B,307.5,20.61603260869565,0.5325,4727.63
Gisagara,Sweet potatoes,2018,Season A,488.8,20.381767955801102,0.5651,5872.35
Gisagara,Sweet potatoes,2018,Season B,522.5,19.725271739130434,0.5783,5923.39
Gisagara,Sweet potatoes,2019,Season A,735.5,20.47513812154696,0.6043,6472.8
Gisagara,Sweet potatoes,2019,Season B,355.5,20.47445652173913,0.5794,5161.5
Gisagara,Sweet potatoes,2020,Season A,669.5,20.662087912087912,0.5754,6122.87
Gisagara,Sweet potatoes,2020,Season B,462.0,20.785326086956523,0.5515,5216.34
Gisagara,Sweet potatoes,2021,Season A,570.0,20.552486187845304,0.5652,5869.94
Gisagara,Sweet potatoes,2021,Season B,428.5,20.03125,0.5513,5432.08
Gisagara,Yams & Taro,2015,Season A,424.2,20.2207182320442,0.5934,9215.0
Gisagara,Yams & Taro,2015,Season B,307.5,20.100815217391304,0.5731,3509.06
Gisagara,Yams & Taro,2016,Season A,406.2,20.50494505494505,0.6063,9112.23
Gisagara,Yams & Taro,2016,Season B,273.7,20.38451086956522,0.5625,3394.37
Gisagara,Yams & Taro,2017,Season A,425.2,20.831491712707184,0.5383,8679.24
Gisagara,Yams & Taro,2017,Season B,307.5,20.61603260869565,0.5325,3210.93
Gisagara,Yams & Taro,2018,Season A,488.8,20.381767955801102,0.5651,9253.17
Gisagara,Yams & Taro,2018,Season B,522.5,19.725271739130434,0.5783,3972.67
Gisagara,Yams & Taro,2019,Season A,735.5,20.47513812154696,0.6043,10228.49
Gisagara,Yams & Taro,2019,Season B,355.5,20.47445652173913,0.5794,3545.55
Gisagara,Yams & Taro,2020,Season A,669.5,20.662087912087912,0.5754,9613.11
Gisagara,Yams & Taro,2020,Season B,462.0,20.785326086956523,0.5515,3568.27
Gisagara,Yams & Taro,2021,Season A,570.0,20.552486187845304,0.5652,9372.94
Gisagara,Yams & Taro,2021,Season B,428.5,20.03125,0.5513,3689.06
Huye,Banana for beer,2015,Season A,424.2,18.484806629834253,0.5765,10818.85
Huye,Banana for beer,2015,Season B,307.5,18.45815217391305,0.565,8355.66
Huye,Banana for beer,2016,Season A,406.2,18.827472527472526,0.5781,10602.54
Huye,Banana for beer,2016,Season B,273.7,18.826630434782608,0.5539,8023.66
Huye,Banana for beer,2017,Season A,455.2,19.21132596685083,0.5212,10002.64
Huye,Banana for beer,2017,Season B,359.4,19.14375,0.5222,7854.5
Huye,Banana for beer,2018,Season A,643.1,18.70414364640884,0.5558,10993.22
Huye,Banana for beer,2018,Season B,648.9,18.21929347826087,0.5809,9813.24
Huye,Banana for beer,2019,Season A,954.6,18.770441988950274,0.581,12426.85
Huye,Banana for beer,2019,Season B,476.8,18.867934782608696,0.5628,8762.25
Huye,Banana for beer,2020,Season A,746.9,18.892032967032968,0.5652,11604.33
Huye,Banana for beer,2020,Season B,565.3,19.188315217391303,0.5467,8710.79
Huye,Banana for beer,2021,Season A,683.9,18.87375690607735,0.564,11192.96
Huye,Banana for beer,2021,Season B,476.2,18.60271739130435,0.5358,8731.07
Huye,Bananas,2015,Season A,424.2,18.484806629834253,0.5765,10044.2
Huye,Bananas,2015,Season B,307.5,18.45815217391305,0.565,9649.68
Huye,Bananas,2016,Season A,406.2,18.827472527472526,0.5781,9658.35
Huye,Bananas,2016,Season B,273.7,18.826630434782608,0.5539,9148.37
Huye,Bananas,2017,Season A,455.2,19.21132596685083,0.5212,9103.92
Huye,Bananas,2017,Season B,359.4,19.14375,0.5222,9042.45
Huye,Bananas,2018,Season A,643.1,18.70414364640884,0.5558,10340.89
Huye,Bananas,2018,Season B,648.9,18.21929347826087,0.5809,11204.07
Huye,Bananas,2019,Season A,954.6,18.770441988950274,0.581,11250.4
Huye,Bananas,2019,Season B,476.8,18.867934782608696,0.5628,10103.16
Huye,Bananas,2020,Season A,746.9,18.892032967032968,0.5652,10487.97
Huye,Bananas,2020,Season B,565.3,19.188315217391303,0.5467,10080.16
Huye,Bananas,2021,Season A,683.9,18.87375690607735,0.564,10390.3
Huye,Bananas,2021,Season B,476.2,18.60271739130435,0.5358,9769.46
Huye,Beans,2015,Season B,307.5,18.45815217391305,0.565,670.43
Huye,Beans,2016,Season B,273.7,18.826630434782608,0.5539,639.07
Huye,Beans,2017,Season B,359.4,19.14375,0.5222,615.36
Huye,Beans,2018,Season B,648.9,18.21929347826087,0.5809,785.48
Huye,Beans,2019,Season B,476.8,18.867934782608696,0.5628,688.66
Huye,Beans,2020,Season B,565.3,19.188315217391303,0.5467,695.43
Huye,Beans,2021,Season B,476.2,18.60271739130435,0.5358,694.27
Huye,Bush bean,2015,Season A,424.2,18.484806629834253,0.5765,610.67
Huye,Bush bean,2015,Season B,307.5,18.45815217391305,0.565,619.58
Huye,Bush bean,2016,Season A,406.2,18.827472527472526,0.5781,586.5
Huye,Bush bean,2016,Season B,273.7,18.826630434782608,0.5539,583.63
Huye,Bush bean,2017,Season A,455.2,19.21132596685083,0.5212,557.11
Huye,Bush bean,2017,Season B,359.4,19.14375,0.5222,582.72
Huye,Bush bean,2018,Season A,643.1,18.70414364640884,0.5558,626.08
Huye,Bush bean,2018,Season B,648.9,18.21929347826087,0.5809,724.14
Huye,Bush bean,2019,Season A,954.6,18.770441988950274,0.581,692.57
Huye,Bush bean,2019,Season B,476.8,18.867934782608696,0.5628,640.42
Huye,Bush bean,2020,Season A,746.9,18.892032967032968,0.5652,635.29
Huye,Bush bean,2020,Season B,565.3,19.188315217391303,0.5467,650.02
Huye,Bush bean,2021,Season A,683.9,18.87375690607735,0.564,626.94
Huye,Bush bean,2021,Season B,476.2,18.60271739130435,0.5358,636.24
Huye,Cassava,2015,Season A,424.2,18.484806629834253,0.5765,18211.93
Huye,Cassava,2015,Season B,307.5,18.45815217391305,0.565,18083.41
Huye,Cassava,2016,Season A,406.2,18.827472527472526,0.5781,17807.91
Huye,Cassava,2016,Season B,273.7,18.826630434782608,0.5539,17312.29
Huye,Cassava,2017,Season A,455.2,19.21132596685083,0.5212,16162.45
